law_id	terms_unique	degree	weighted_degree	betweenness	closeness	pagerank	component_id	component_size
MNCLW00119	6	336	419.0000	0.000083	0.606561	0.000326	0	810
MNCLW00120	10	553	1131.0000	0.000629	0.730721	0.000586	0	810
MNCLW00121	7	435	879.0000	0.000189	0.657834	0.000449	0	810
MNCLW00122	6	315	492.0000	0.000059	0.596793	0.000362	0	810
MNCLW00123	9	404	702.0000	0.000145	0.640508	0.000402	0	810
MNCLW00124	8	426	779.0000	0.000223	0.652867	0.000441	0	810
MNCLW00125	10	534	1135.0000	0.000597	0.717913	0.000588	0	810
MNCLW00126	7	427	784.0000	0.000187	0.653415	0.000415	0	810
MNCLW00127	8	417	653.0000	0.000358	0.647975	0.000417	0	810
MNCLW00128	5	327	371.0000	0.000077	0.602336	0.000314	0	810
MNCLW00129	9	556	1013.0000	0.000730	0.732785	0.000568	0	810
MNCLW00130	10	535	893.0000	0.000614	0.718576	0.000523	0	810
MNCLW00131	8	462	726.0000	0.000428	0.673199	0.000490	0	810
MNCLW00132	8	542	944.0000	0.000609	0.723251	0.000543	0	810
MNCLW00133	10	535	808.0000	0.000818	0.718576	0.000517	0	810
MNCLW00134	8	457	641.0000	0.000583	0.670299	0.000484	0	810
MNCLW00135	9	461	1030.0000	0.000253	0.672617	0.000489	0	810
MNCLW00136	12	389	799.0000	0.000140	0.633212	0.000424	0	810
MNCLW00137	316	682	10620.0000	0.002196	0.831429	0.002774	0	810
MNCLW00138	1196	722	19755.0000	0.002684	0.868546	0.004804	0	810
MNCLW00139	8	122	122.0000	0.000000	0.519851	0.000211	0	810
MNCLW00140	396	576	9924.0000	0.000559	0.746850	0.002428	0	810
MNCLW00141	3	160	184.0000	0.000000	0.533757	0.000226	0	810
MNCLW00142	50	409	1690.0000	0.000038	0.643687	0.000562	0	810
MNCLW00143	190	552	5884.0000	0.000470	0.730035	0.001540	0	810
MNCLW00144	4	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00145	65	627	3798.0000	0.000867	0.785285	0.001141	0	810
MNCLW00146	164	578	7899.0000	0.000442	0.748286	0.001974	0	810
MNCLW00147	459	696	13242.0000	0.001652	0.844054	0.003288	0	810
MNCLW00148	649	678	14353.0000	0.001666	0.827891	0.003530	0	810
MNCLW00149	543	609	10637.0000	0.000747	0.771276	0.002614	0	810
MNCLW00150	31	422	754.0000	0.000237	0.650684	0.000410	0	810
MNCLW00151	2	39	39.0000	0.000000	0.492543	0.000194	0	810
MNCLW00152	248	595	8047.0000	0.000816	0.760721	0.002043	0	810
MNCLW00153	292	637	12436.0000	0.000881	0.793290	0.003012	0	810
MNCLW00154	4	255	266.0000	0.000049	0.570541	0.000323	0	810
MNCLW00155	2	32	32.0000	0.000000	0.490061	0.000192	0	810
MNCLW00156	567	727	14035.0000	0.002103	0.873420	0.003496	0	810
MNCLW00157	219	696	9184.0000	0.001599	0.844054	0.002387	0	810
MNCLW00158	177	573	8473.0000	0.000356	0.744706	0.002093	0	810
MNCLW00159	32	397	1380.0000	0.000141	0.637361	0.000511	0	810
MNCLW00160	34	399	1679.0000	0.000143	0.638407	0.000586	0	810
MNCLW00161	55	650	3272.0000	0.001383	0.803944	0.001079	0	810
MNCLW00162	273	597	10163.0000	0.000638	0.762211	0.002496	0	810
MNCLW00163	5	386	515.0000	0.000305	0.631670	0.000399	0	810
MNCLW00164	522	691	13456.0000	0.001405	0.839501	0.003289	0	810
MNCLW00165	299	620	9324.0000	0.000917	0.779777	0.002331	0	810
MNCLW00166	2	101	101.0000	0.000000	0.512322	0.000206	0	810
MNCLW00167	377	619	12738.0000	0.000857	0.778997	0.003068	0	810
MNCLW00168	199	627	8945.0000	0.001003	0.785285	0.002254	0	810
MNCLW00169	107	541	5877.0000	0.000406	0.722579	0.001522	0	810
MNCLW00170	258	521	8162.0000	0.000324	0.709405	0.002005	0	810
MNCLW00171	8	287	426.0000	0.000012	0.584686	0.000282	0	810
MNCLW00172	6	60	66.0000	0.000000	0.497900	0.000199	0	810
MNCLW00173	446	584	12971.0000	0.000552	0.752628	0.003091	0	810
MNCLW00174	3	236	237.0000	0.000002	0.562703	0.000312	0	810
MNCLW00175	37	416	1913.0000	0.000039	0.647436	0.000607	0	810
MNCLW00176	223	590	8322.0000	0.000435	0.757021	0.002079	0	810
MNCLW00177	255	595	8372.0000	0.000765	0.760721	0.002118	0	810
MNCLW00178	2	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00179	391	694	12130.0000	0.001580	0.842227	0.003025	0	810
MNCLW00180	188	582	6213.0000	0.000569	0.751175	0.001622	0	810
MNCLW00181	136	536	6685.0000	0.000373	0.719240	0.001692	0	810
MNCLW00182	183	558	8354.0000	0.000542	0.734168	0.002087	0	810
MNCLW00183	3	40	40.0000	0.000004	0.492543	0.000215	0	810
MNCLW00184	173	568	7554.0000	0.000485	0.741160	0.001889	0	810
MNCLW00185	252	571	8445.0000	0.000513	0.743283	0.002103	0	810
MNCLW00186	23	317	585.0000	0.000046	0.597709	0.000330	0	810
